no	bin     L	poly	
0:	000	L-1	
1:	001	L0	1
2:	010	L1	x
3:	100	L2	x2
4:	011	L3	x + 1
5:	110	L4	x2 + x
6:	111	L5	x2 + x + 1
7:	101	L6	x2 + 1

+
  	0.	1.	2.	3.	4.	5.	6.	7.	
0|	0	1	2	3	4	5	6	7	
1|	1	0	4	7	2	6	5	3	
2|	2	4	0	5	1	3	7	6	
3|	3	7	5	0	6	2	4	1	
4|	4	2	1	6	0	7	3	5	
5|	5	6	3	2	7	0	1	4	
6|	6	5	7	4	3	1	0	2	
7|	7	3	6	1	5	4	2	0	

*
   	0.	1.	2.	3.	4.	5.	6.	7.	
0|	0	0	0	0	0	0	0	0	
1|	0	1	2	3	4	5	6	7	
2|	0	2	3	4	5	6	7	1	
3|	0	3	4	5	6	7	1	2	
4|	0	4	5	6	7	1	2	3	
5|	0	5	6	7	1	2	3	4	
6|	0	6	7	1	2	3	4	5	
7|	0	7	1	2	3	4	5	6	

/
	0.	1.	2.	3.	4.	5.	6.	7.	
0|	0	0	0	0	0	0	0	0	
1|	0	1	7	6	5	4	3	2	
2|	0	2	1	7	6	5	4	3	
3|	0	3	2	1	7	6	5	4	
4|	0	4	3	2	1	7	6	5	
5|	0	5	4	3	2	1	7	6	
6|	0	6	5	4	3	2	1	7	
7|	0	7	6	5	4	3	2	1	
